Designator,Mid X,Mid Y,Rotation,Layer
C1,32.2,-41.8,0.0,top
C10,4.625,-8.9,180.0,top
C2,32.2,-45.7,0.0,top
C3,8.9,-29.24,180.0,top
C4,52.0375,-5.6,0.0,top
C5,49.6,-17.4,0.0,top
C6,52.1,-8.6,180.0,top
C7,42.9375,-17.5,0.0,top
C8,4.625,-16.8,180.0,top
C9,4.625,-12.9,180.0,top
CN1,27.6,-7.0,0.0,top
CN2,12.9,-7.0,0.0,top
CN3,6.7,-53.8,270.0,top
CN4,5.1,-23.3,0.0,top
CN5,60.0,-49.1,270.0,top
CN6,60.0,-24.56,270.0,top
CN7,60.0,-36.06,270.0,top
D1,31.7,-37.0,0.0,top
FPC1,18.4,-17.3125,0.0,top
FPC2,14.2875,-63.25,270.0,top
JOY1,45.1,-64.5,0.0,top
Q1,19.3625,-55.95,180.0,top
R1,28.95,-27.7,0.0,top
R2,28.95,-31.7,0.0,top
R3,49.6,-24.9,0.0,top
R4,18.4,-50.0,90.0,top
R5,14.0,-50.0,90.0,top
R6,31.5,-21.0,0.0,top
R7,31.5,-16.4,0.0,top
R8,59.55,-60.0,0.0,top
R9,42.6,-60.0,180.0,top
U1,45.02,-42.44,0.0,top
U2,13.385,-38.24,180.0,top
U3,42.066,-6.375,180.0,top
